,Time
443,07:25:23
444,07:24:00
445,07:27:25
446,07:26:00
447,07:29:27
448,07:28:00
449,07:31:29
450,07:30:00
451,07:33:31
452,07:32:00
453,07:35:26
454,07:34:00
455,07:37:34
456,07:36:00
457,07:39:36
458,07:38:00
459,07:41:38
460,07:40:00
461,07:43:40
462,07:42:00
463,07:45:42
464,07:44:00
465,07:47:20
466,07:46:00
467,07:49:28
468,07:48:00
469,07:51:36
470,07:50:00
471,07:53:43
472,07:52:00
473,07:55:50
474,07:54:00
475,07:57:54
476,07:56:00
477,07:59:18
478,07:58:00
479,08:01:25
480,08:00:00
481,08:03:31
482,08:02:00
483,08:05:01
484,08:04:00
485,08:07:03
486,08:06:00
487,08:09:05
488,08:08:00
489,08:11:07
490,08:10:00
491,08:13:09
492,08:12:00
493,08:15:11
494,08:14:00
495,08:17:13
496,08:16:00
497,08:19:15
498,08:18:00
499,08:21:17
500,08:20:00
501,08:23:11
502,08:22:00
503,08:25:19
504,08:24:00
505,08:27:23
506,08:26:00
507,08:29:25
508,08:28:00
509,08:31:27
510,08:30:00
511,08:33:29
512,08:32:00
513,08:35:04
514,08:34:00
515,08:37:11
516,08:36:00
517,08:39:35
518,08:38:00
519,08:41:30
520,08:40:00
521,08:43:37
522,08:42:00
523,08:45:41
524,08:44:00
525,08:47:06
526,08:46:00
527,08:49:12
528,08:48:00
529,08:51:19
530,08:50:00
531,08:53:26
532,08:52:00
533,08:55:33
534,08:54:00
535,08:57:53
536,08:56:00
537,08:59:55
538,08:58:00
539,09:01:57
540,09:00:00
541,09:03:15
542,09:02:00
543,09:05:00
544,09:04:00
545,09:07:02
546,09:06:00
547,09:09:04
548,09:08:00
549,09:11:06
550,09:10:00
551,09:13:05
552,09:12:00
553,09:15:10
554,09:14:00
555,09:17:12
556,09:16:00
557,09:19:14
558,09:18:00
559,09:21:16
560,09:20:00
561,09:23:18
562,09:22:00
563,09:25:20
564,09:24:00
565,09:27:22
566,09:26:00
567,09:29:18
568,09:28:00
569,09:31:26
570,09:30:00
571,09:33:28
572,09:32:00
573,09:35:30
574,09:34:00
575,09:37:32
576,09:36:00
577,09:39:03
578,09:38:00
579,09:41:13
580,09:40:00
581,09:43:38
582,09:42:00
583,09:45:30
584,09:44:00
585,09:47:38
586,09:46:00
587,09:49:44
588,09:48:00
589,09:51:46
590,09:50:00
591,09:53:30
592,09:52:00
593,09:55:24
594,10:03:22
595,09:57:32
596,09:56:00
597,09:59:54
598,09:58:00
599,10:01:50
600,10:00:00
601,10:03:57
602,10:02:00
603,10:06:00
604,10:04:00
605,10:05:00
606,10:09:03
607,10:07:00
608,10:08:00
609,10:12:06
610,10:10:00
611,10:11:00
612,10:15:09
613,10:13:00
614,10:25:12
615,10:18:12
616,10:16:00
617,10:17:00
618,10:21:15
619,10:19:00
620,10:20:00
621,10:24:18
622,10:22:00
623,10:23:00
624,10:27:21
625,10:38:39
626,10:26:00
627,10:30:24
628,10:28:00
629,10:29:00
630,10:33:02
631,10:31:00
632,10:32:00
633,10:36:30
634,10:34:00
635,10:35:00
636,10:39:00
637,10:37:00
638,10:52:26
639,10:42:36
640,10:40:00
641,10:41:00
642,10:45:33
643,10:43:00
644,10:44:00
645,10:48:42
646,10:46:00
647,10:47:00
648,10:51:45
649,10:49:00
650,10:50:00
651,10:54:48
652,11:06:35
653,10:53:00
654,10:57:29
655,10:55:00
656,10:56:00
657,11:00:42
658,10:58:00
659,10:59:00
660,11:03:53
661,11:01:00
662,11:02:00
663,11:07:00
664,11:04:00
665,11:05:00
666,11:20:06
667,11:11:04
668,11:08:00
669,11:09:00
670,11:10:00
671,11:15:08
672,11:12:00
673,11:13:00
674,11:14:00
675,11:19:12
676,11:16:00
677,11:17:00
678,11:18:00
679,11:25:07
680,11:34:20
681,11:21:00
682,11:22:00
683,11:23:00
684,11:24:00
685,11:31:24
686,11:26:00
687,11:27:00
688,11:28:00
689,11:29:00
690,11:30:00
691,11:37:22
692,11:32:00
693,11:33:00
694,11:48:29
695,11:35:00
696,11:36:00
697,11:43:36
698,11:38:00
699,11:39:00
700,11:40:00
701,11:41:00
702,11:42:00
703,11:49:15
704,11:44:00
705,11:45:00
706,11:46:00
707,11:47:00
708,12:05:11
709,11:55:39
710,11:50:00
711,11:51:00
712,11:52:00
713,11:53:00
714,11:54:00
715,12:01:18
716,11:56:00
717,11:57:00
718,11:58:00
719,11:59:00
720,12:00:00
721,12:07:43
722,12:02:00
723,12:03:00
724,12:04:00
725,12:22:06
726,12:06:00
727,12:13:05
728,12:08:00
729,12:09:00
730,12:10:00
731,12:11:00
732,12:12:00
733,12:19:11
734,12:14:00
735,12:15:00
736,12:16:00
737,12:17:00
738,12:18:00
739,12:25:17
740,12:20:00
741,12:21:00
742,12:39:23
743,12:23:00
744,12:24:00
745,12:31:23
746,12:26:00
747,12:27:00
748,12:28:00
749,12:29:00
750,12:30:00
751,12:37:15
752,12:32:00
753,12:33:00
754,12:34:00
755,12:35:00
756,12:36:00
757,12:43:34
758,12:38:00
759,12:56:19
760,12:40:00
761,12:41:00
762,12:42:00
763,12:49:15
764,12:44:00
765,12:45:00
766,12:46:00
767,12:47:00
768,12:48:00
769,12:55:46
770,12:50:00
771,12:51:00
772,12:52:00
773,12:53:00
774,12:54:00
775,13:01:52
776,13:13:49
777,12:57:00
778,12:58:00
779,12:59:00
780,13:00:00
781,13:07:26
782,13:02:00
783,13:03:00
784,13:04:00
785,13:05:00
786,13:06:00
787,13:13:03
788,13:08:00
789,13:09:00
790,13:10:00
791,13:11:00
792,13:12:00
793,13:19:09
794,13:14:00
795,13:15:00
796,13:16:00
797,13:17:00
798,13:18:00
799,13:25:15
800,13:20:00
801,13:21:00
802,13:22:00
803,13:23:00
804,13:24:00
805,13:31:21
806,13:26:00
807,13:27:00
808,13:28:00
809,13:29:00
810,13:30:00
811,13:37:18
812,13:32:00
813,13:33:00
814,13:34:00
815,13:35:00
816,13:36:00
817,13:43:20
818,13:38:00
819,13:39:00
820,13:40:00
821,13:41:00
822,13:42:00
823,13:52:04
824,13:44:00
825,13:45:00
826,13:46:00
827,13:47:00
828,13:48:00
829,14:11:49
830,13:50:00
831,13:51:00
832,14:01:50
833,13:53:00
834,13:54:00
835,13:55:00
836,13:56:00
837,13:57:00
838,13:58:00
839,13:59:00
840,14:00:00
841,14:11:00
842,14:02:00
843,14:03:00
844,14:04:00
845,14:05:00
846,14:06:00
847,14:07:00
848,14:08:00
849,14:09:00
850,14:10:00
851,14:21:10
852,14:12:00
853,14:13:00
854,14:14:00
855,14:15:00
856,14:16:00
857,14:17:00
858,14:18:00
859,14:19:00
860,14:20:00
861,14:31:51
862,14:22:00
863,14:23:00
864,14:24:00
865,14:25:00
866,14:26:00
867,14:27:00
868,14:28:00
869,14:29:00
870,14:30:00
871,14:41:30
872,14:32:00
873,14:56:01
874,14:34:00
875,14:35:00
876,14:36:00
877,14:37:00
878,14:38:00
879,14:39:00
880,14:40:00
881,14:51:40
882,14:42:00
883,14:43:00
884,14:44:00
885,14:45:00
886,14:46:00
887,14:47:00
888,14:48:00
889,14:49:00
890,14:50:00
891,15:01:16
892,14:52:00
893,14:53:00
894,14:54:00
895,14:55:00
896,15:19:00
897,14:57:00
898,14:58:00
899,14:59:00
900,15:00:00
901,15:12:00
902,15:02:00
903,15:03:00
904,15:04:00
905,15:05:00
906,15:06:00
907,15:07:00
908,15:08:00
909,15:09:00
910,15:10:00
911,15:11:00
912,15:25:13
913,15:13:00
914,15:14:00
915,15:15:00
916,15:16:00
917,15:17:00
918,15:18:00
919,15:42:23
920,15:20:00
921,15:21:00
922,15:22:00
923,15:23:00
924,15:24:00
925,15:38:20
926,15:26:00
927,15:27:00
928,15:28:00
929,15:29:00
930,15:30:00
931,15:31:00
932,15:32:00
933,15:33:00
934,15:34:00
935,15:35:00
936,15:36:00
937,15:37:00
938,15:51:15
939,15:39:00
940,15:40:00
941,15:41:00
942,16:05:55
943,15:43:00
944,15:44:00
945,15:45:00
946,15:46:00
947,15:47:00
948,15:48:00
949,15:49:00
950,15:50:00
951,16:04:10
952,15:52:00
953,15:53:00
954,15:54:00
955,15:55:00
956,15:56:00
957,15:57:00
958,15:58:00
959,15:59:00
960,16:00:00
961,16:01:00
962,16:02:00
963,16:03:00
964,16:17:05
965,16:28:17
966,16:06:00
967,16:07:00
968,16:08:00
969,16:09:00
970,16:10:00
971,16:11:00
972,16:12:00
973,16:13:00
974,16:14:00
975,16:15:00
976,16:16:00
977,16:30:00
978,16:18:00
979,16:19:00
980,16:20:00
981,16:21:00
982,16:22:00
983,16:23:00
984,16:24:00
985,16:25:00
986,16:26:00
987,16:27:00
988,16:51:38
989,16:29:00
990,16:43:06
991,16:31:00
992,16:32:00
993,16:33:00
994,16:34:00
995,16:35:00
996,16:36:00
997,16:37:00
998,16:38:00
999,16:39:00
1000,16:40:00
1001,16:41:00
1002,16:42:00
1003,16:56:20
1004,16:44:00
1005,16:45:00
1006,16:46:00
1007,16:47:00
1008,16:48:00
1009,16:49:00
1010,16:50:00
1011,17:14:01
1012,16:52:00
1013,16:53:00
1014,16:54:00
1015,16:55:00
1016,17:09:15
1017,16:57:00
1018,16:58:00
1019,16:59:00
1020,17:00:00
1021,17:01:00
1022,17:02:00
1023,17:03:00
1024,17:04:00
1025,17:05:00
1026,17:06:00
1027,17:07:00
1028,17:08:00
1029,17:22:10
1030,17:10:00
1031,17:11:00
1032,17:12:00
1033,17:13:00
1034,17:37:24
1035,17:15:00
1036,17:16:00
1037,17:17:00
1038,17:18:00
1039,17:19:00
1040,17:20:00
1041,17:21:00
1042,17:35:05
1043,17:23:00
1044,17:24:00
1045,17:25:00
1046,17:26:00
1047,17:27:00
1048,17:28:00
1049,17:29:00
1050,17:30:00
1051,17:31:00
1052,17:32:00
1053,17:33:00
1054,17:34:00
1055,17:48:00
1056,17:36:00
1057,18:00:18
1058,17:38:00
1059,17:39:00
1060,17:40:00
1061,17:41:00
1062,17:42:00
1063,17:43:00
1064,17:44:00
1065,17:45:00
1066,17:46:00
1067,17:47:00
1068,18:01:26
1069,17:49:00
1070,17:50:00
1071,17:51:00
1072,17:52:00
1073,17:53:00
1074,17:54:00
1075,17:55:00
1076,17:56:00
1077,17:57:00
1078,17:58:00
1079,17:59:00
1080,18:23:09
1081,18:14:21
1082,18:02:00
1083,18:03:00
1084,18:04:00
1085,18:05:00
1086,18:06:00
1087,18:07:00
1088,18:08:00
1089,18:09:00
1090,18:10:00
1091,18:11:00
1092,18:12:00
1093,18:13:00
1094,18:27:01
1095,18:15:00
1096,18:16:00
1097,18:17:00
1098,18:18:00
1099,18:19:00
1100,18:20:00
1101,18:21:00
1102,18:22:00
1103,18:46:32
1104,18:24:00
1105,18:25:00
1106,18:26:00
1107,18:40:11
1108,18:28:00
1109,18:29:00
1110,18:30:00
1111,18:31:00
1112,18:32:00
1113,18:33:00
1114,18:34:00
1115,18:35:00
1116,18:36:00
1117,18:37:00
1118,18:38:00
1119,18:39:00
1120,18:53:06
1121,18:41:00
1122,18:42:00
1123,18:43:00
1124,18:44:00
1125,18:45:00
1126,19:09:24
1127,18:47:00
1128,18:48:00
1129,18:49:00
1130,18:50:00
1131,18:51:00
1132,18:52:00
1133,19:06:01
1134,18:54:00
1135,18:55:00
1136,18:56:00
1137,18:57:00
1138,18:58:00
1139,18:59:00
1140,19:00:00
1141,19:01:00
1142,19:02:00
1143,19:03:00
1144,19:04:00
1145,19:05:00
1146,19:21:00
1147,19:07:00
1148,19:08:00
1149,19:32:03
1150,19:10:00
1151,19:11:00
1152,19:12:00
1153,19:13:00
1154,19:14:00
1155,19:15:00
1156,19:16:00
1157,19:17:00
1158,19:18:00
1159,19:19:00
1160,19:20:00
1161,19:36:06
1162,19:22:00
1163,19:23:00
1164,19:24:00
1165,19:25:00
1166,19:26:00
1167,19:27:00
1168,19:28:00
1169,19:29:00
1170,19:30:00
1171,19:31:00
1172,19:55:26
1173,19:33:00
1174,19:34:00
1175,19:35:00
1176,19:51:28
1177,19:37:00
1178,19:38:00
1179,19:39:00
1180,19:40:00
1181,19:41:00
1182,19:42:00
1183,19:43:00
1184,19:44:00
1185,19:45:00
1186,19:46:00
1187,19:47:00
1188,19:48:00
1189,19:49:00
1190,19:50:00
1191,20:06:32
1192,19:52:00
1193,19:53:00
1194,19:54:00
1195,20:18:02
1196,19:56:00
1197,19:57:00
1198,19:58:00
1199,19:59:00
1200,20:00:00
1201,20:01:00
1202,20:02:00
1203,20:03:00
1204,20:04:00
1205,20:05:00
1206,20:21:31
1207,20:07:00
1208,20:08:00
1209,20:09:00
1210,20:10:00
1211,20:11:00
1212,20:12:00
1213,20:13:00
1214,20:14:00
1215,20:15:00
1216,20:16:00
1217,20:17:00
1218,20:41:25
1219,20:19:00
1220,20:20:00
1221,20:36:01
1222,20:22:00
1223,20:23:00
1224,20:24:00
1225,20:25:00
1226,20:26:00
1227,20:27:00
1228,20:28:00
1229,20:29:00
1230,20:30:00
1231,20:31:00
1232,20:32:00
1233,20:33:00
1234,20:34:00
1235,20:35:00
1236,20:51:15
1237,20:37:00
1238,20:38:00
1239,20:39:00
1240,20:40:00
1241,21:04:28
1242,20:42:00
1243,20:43:00
1244,20:44:00
1245,20:45:00
1246,20:46:00
1247,20:47:00
1248,20:48:00
1249,20:49:00
1250,20:50:00
1251,21:06:30
1252,20:52:00
1253,20:53:00
1254,20:54:00
1255,20:55:00
1256,20:56:00
1257,20:57:00
1258,20:58:00
1259,20:59:00
1260,21:00:00
1261,21:01:00
1262,21:02:00
1263,21:03:00
1264,21:27:20
1265,21:05:00
1266,21:21:45
1267,21:07:00
1268,21:08:00
1269,21:09:00
1270,21:10:00
1271,21:11:00
1272,21:12:00
1273,21:13:00
1274,21:14:00
1275,21:15:00
1276,21:16:00
1277,21:17:00
1278,21:18:00
1279,21:19:00
1280,21:20:00
1281,21:36:46
1282,21:22:00
1283,21:23:00
1284,21:24:00
1285,21:25:00
1286,21:26:00
1287,21:50:21
1288,21:28:00
1289,21:29:00
1290,21:30:00
1291,21:31:00
1292,21:32:00
1293,21:33:00
1294,21:34:00
1295,21:35:00
1296,21:51:14
1297,21:37:00
1298,21:38:00
1299,21:39:00
1300,21:40:00
1301,21:41:00
1302,21:42:00
1303,21:43:00
1304,21:44:00
1305,21:45:00
1306,21:46:00
1307,21:47:00
1308,21:48:00
1309,21:49:00
1310,22:13:05
1311,22:06:21
1312,21:52:00
1313,21:53:00
1314,21:54:00
1315,21:55:00
1316,21:56:00
1317,21:57:00
1318,21:58:00
1319,21:59:00
1320,22:00:00
1321,22:01:00
1322,22:02:00
1323,22:03:00
1324,22:04:00
1325,22:05:00
1326,22:21:35
1327,22:07:00
1328,22:08:00
1329,22:09:00
1330,22:10:00
1331,22:11:00
1332,22:12:00
1333,22:38:18
1334,22:14:00
1335,22:15:00
1336,22:16:00
1337,22:17:00
1338,22:18:00
1339,22:19:00
1340,22:20:00
1341,22:36:59
1342,22:22:00
1343,22:23:00
1344,22:24:00
1345,22:25:00
1346,22:26:00
1347,22:27:00
1348,22:28:00
1349,22:29:00
1350,22:30:00
1351,22:31:00
1352,22:32:00
1353,22:33:00
1354,22:34:00
1355,22:35:00
1356,22:52:14
1357,22:37:00
1358,23:03:20
1359,22:39:00
1360,22:40:00
1361,22:41:00
1362,22:42:00
1363,22:43:00
1364,22:44:00
1365,22:45:00
1366,22:46:00
1367,22:47:00
1368,22:48:00
1369,22:49:00
1370,22:50:00
1371,22:51:00
1372,22:51:00
1373,22:53:00
1374,22:54:00
1375,22:55:00
1376,22:56:00
1377,22:57:00
1378,22:58:00
1379,22:59:00
1380,23:00:00
1381,23:01:00
1382,23:02:00
1383,23:03:00
1384,23:04:00
1385,23:05:00
1386,23:06:00
1387,23:07:00
1388,23:07:00
1389,23:09:00
1390,23:10:00
1391,23:11:00
1392,23:12:00
1393,23:13:00
1394,23:14:00
1395,23:15:00
1396,23:16:00
1397,23:17:00
1398,23:18:00
1399,23:19:00
1400,23:20:00
1401,23:21:00
1402,23:22:00
1403,23:23:00
1404,23:23:00
1405,23:25:00
1406,23:26:00
1407,23:27:00
1408,23:28:00
1409,23:29:00
1410,23:30:00
1411,23:31:00
1412,23:32:00
1413,23:33:00
1414,23:34:00
1415,23:35:00
1416,23:36:00
1417,23:37:00
1418,23:38:00
1419,23:39:00
1420,23:39:00
1421,23:41:00
1422,23:42:00
1423,23:43:00
1424,23:44:00
1425,23:45:00
1426,23:46:00
1427,23:47:00
1428,23:48:00
1429,23:49:00
1430,23:50:00
1431,23:51:00
1432,23:52:00
1433,23:53:00
1434,23:54:00
1435,23:55:00
1436,23:56:00
1437,23:57:00
1438,23:58:00
1439,23:59:00
